"1. Organisation
Name","2. Purpose 
of Spend","3. Directorate /  
Service 
Responsible","4. Start
Date","5. End
Date",6.Amount,"7. Supplier /
Beneficiary
Name","8. Registered
Number"
Rochdale Borough Council,Grant - Burnside Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£6,000.00",BURNSIDE CENTRE ACCOUNT,1145309
Rochdale Borough Council,GRANT PAYMENT - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£820.00,WELL MENTAL UK CIC,UNKNOWN
Rochdale Borough Council,Grant - Syke Community,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,500.00",NORTH AREA PARTNERSHIP,1110073
Rochdale Borough Council,GRANT PAYMENT - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£600.00,2301 HEYWOOD SQUADRON AIR CADETS,UNKNOWN
Rochdale Borough Council,Grant - Syke Community,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,500.00",NORTH AREA PARTNERSHIP,1110073
Rochdale Borough Council,GRANT PAYMENT - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,500.00",FRIENDS OF BROAD LANE COMMUNITY WOODLAND,UNKNOWN
Rochdale Borough Council,Grant - Crimblecroft Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£7,500.00",CRIMBLE CROFT COMMUNITY CENTRE,1081704
Rochdale Borough Council,GRANT PAYMENT - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,888.00",UNIFORM FOR ALL,UNKNOWN
Rochdale Borough Council,Grant - Castlemere Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,500.00",CASTLEMERE COMMUNITY CENTRE,515622
Rochdale Borough Council,GRANT PAYMENT - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,000.00",CREATIVE HEALTH AND WELL BEING LTD,UNKNOWN
Rochdale Borough Council,Grant - Spotland Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£7,500.00",SPOTLAND COMMUNITY CENTRE,1055809
Rochdale Borough Council,GRANT PAYMENT - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,100.00",CARING AND SHARING,1185733
Rochdale Borough Council,Grant - Kashmir Youth Project,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,500.00",KASHMIR YOUTH PROJECT,1003644
Rochdale Borough Council,GRANT PAYMENT - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,270.00",FRIENDS OF DENEHURST PARK,UNKNOWN
Rochdale Borough Council,Grant - Wardleworth Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£6,000.00",WARDLEWORTH COMMUNITY CENTRE ASSOCIATION,702903
