"1. Organisation
Name","2. Purpose 
of Spend","3. Directorate /  
Service 
Responsible","4. Start
Date","5. End
Date",6.Amount,"7. Supplier /
Beneficiary
Name","8. Registered
Number"
Rochdale Borough Council,GRANT PAYMENT - M/28/23 COMMUNITY FILM CLUB,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£66.82,BAMFORD CHAPEL UNITED REFORMED CHURCH CHARITY,1128387
Rochdale Borough Council,GRANT PAYMENT - M/20/23 KIRKHOLT CHRISTMAS HAMPERS 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£699.30,OUR LOCAL PANTRY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/21/23 KIRKHOLT RAMADAN HAMPERS 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,121.00",OUR LOCAL PANTRY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/25/23 KIRKHOLT BOWLING CLUB AND GROUNDS IMPROVEMENTS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£600.00,KIRKHOLT BOWLING CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/10/23 CENTRAL MOSQUE OPEN DAYS AND PREPARATION FOR EID GATHERING,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",CENTRAL MOSQUE ROCHDALE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/24/23 & W/39/23 NEWBOLD COMMUNITY GROWING TOGETHER GARDEN PROJECT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£500.00,NEWBOLD COMMUNITY GROWING TOGETHER,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/02/23 EDUCATIONAL EXCURSION TO ASTLEY HALL,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£100.00,BAMFORD CHAPEL LADIES FELLOWSHIP,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/09/23 INDEPENDENCE DAY CRICKET TOURNAMENT 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,975.00",PUNJAB CRICKET CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT (ROCHDALE SOUTH TOWNSHIP) - RP/17/23 & W/56/23 DALES VOLLEYBALL CLUB TOURNAMENT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,500.00",DALES VOLLEYBALL CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/04/23 EID CULTURAL CELEBRATION 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",CRESCENT COMMUNITY RADIO LTD,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/30/23 THORNHAM CC JUNIORS 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",THORNHAM CRICKET CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/37/23 DEFIBRILLATORS SAVE LIVES (DEFIBRILLATOR FOR ST JAMES CHURCH),NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",PAROCHIAL CHURCH OF ST JAMES,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/25/23 LET`S GO LEGO,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,335.42",BRIMROD METHODIST CHURCH,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/24/23 & W/39/23 NEWBOLD COMMUNITY GROWING TOGETHER GARDEN PROJECT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£203.56,NEWBOLD COMMUNITY GROWING TOGETHER,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/09/23 EXTENSION OF IT SKILLS CLASS FOR BAME WOMEN,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,189.39",ROCHDALE COMMUNITY INITIATIVE RCI,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/10/23 PODCAST PROJECT FOR YOUTHS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,720.00",ROCHDALE COMMUNITY INITIATIVE RCI,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/34/23 PROMOTING ENVIRONMENTAL SUSTAINABILITY IN GARDENING,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£883.00,Q GARDENS IN THE COMMUNITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/06/23 & W/17/23 BALDERSTONE COMMUNITY RUGBY LEAGUE INITIATIVE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,000.00",ROCHDALE HORNETS SPORTING FOUNDATION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/46/23 BRINGING CHRISTMAS TO SYKE 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£640.00,NORTH AREA PARTNERSHIP,1110073
Rochdale Borough Council,GRANT PAYMENT - W/57/23 WARDLEWORTH COMMUNITY CENTRE TOILETS REFURBISHMENT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,000.00",WARDLEWORTH COMMUNITY CENTRE ASSOCIATION,702903
Rochdale Borough Council,GRANT PAYMENT - W/58/23 MY SPACE - STAIR LIFT DISABLED ACCESS TO UPPER FLOOR EXTENSION,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,500.00",BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,1106571
Rochdale Borough Council,GRANT PAYMENT - W/79/23 REPAIR BARRIER ON THE BRIDLEWAY AT THE ROOLEY MOOR ROAD AND KNACKS LANE JUNCTION,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,194.00",ROOLEY MOOR NEIGHBOURHOOD FORUM CIO,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/36/23 NORDEN WOMEN`S INSTITUTE PLANTER,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£804.22,NORDEN WOMENS INSTITUTE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/55/23 THE STRIKE CENTRE JUNIORS COMPETITION TEAM,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,719.68",THE STRIKE CENTRE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/01/23 10TH ROCHDALE (NORDEN) SCOUTS TENTS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,642.00",10TH ROCHDALE NORDEN SCOUTS,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/02/23 ST PAUL`S CHURCH NORDEN ASBESTOS REMOVAL,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£5,000.00",ST PAULS CHURCH,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/01/23 CENTRAL WARD SUMMER COMMUNITY FESTIVAL 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",YOUTH CONNECTIONS,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/03/23 SPOTLAND COMMUNITY CENTRE PROJECTION EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£329.52,SPOTLAND COMMUNITY CENTRE,1055809
Rochdale Borough Council,GRANT PAYMENT - M/27/23 PAKEEZA WOMEN`S GROUP WEEKLY SESSIONS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,250.00",PAKEEZA WOMEN GROUP,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/48/23 MY SPACE - STAIR LIFT DISABLED ACCESS TO UPPER FLOOR EXTENSION,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,500.00",BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,1106571
Rochdale Borough Council,GRANT PAYMENT - M/23/23 COACHING IN THE COMMUNITY,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£500.00,GET TOGETHER AFTER SERVING CIC,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/42/23 COMMUNITY SEWING CLASSES,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£250.00,NIGERIA COMMUNITY ASSOCIATION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/36/23 NORDEN RECREATION GROUND CHRISTMAS TREE 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£190.00,FRIENDS OF NORDEN RECREATION GROUND,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/16/23 WHITE RIBBON CELEBRATION,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£584.36,MAVERICK LAB CIC,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/13/23 COMMUNITY FAMILY FUN DAY (WARDLEWORTH),NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,350.00",FRIENDS GROUP OF ROCHDALE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/09/23 PORTABLE PA/SOUND SYSTEM,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,199.00",LITTLEBOROUGH U3A,1171358
Rochdale Borough Council,GRANT PAYMENT - PF/10/23 JOHNNY ALFREY MUSIC MEMORIAL EVENT 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£5,000.00",JOHNNY ALFREY MUSIC MEMORIAL,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/11/23 COACH HOUSE PHASE 2 UPGRADE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,500.00",LITTLEBOROUGH COACH HOUSE TRUST LIMITED,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PENNINES IN BLOOM 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,160.00",PENNINES IN BLOOM,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/20/22 FRIENDS OF HARE HILL PARK 2023 EVENTS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,513.00",FRIENDS OF HARE HILL PARK,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/12/23 ACQUISITION OF A ROMAN COIN HOARD FOUND IN LITTLEBOROUGH,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,000.00",YOUR TRUST CHARITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/13/23 PENNINES IN BLOOM 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,015.00",PENNINES IN BLOOM,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/16/22 FAMILY CENTRAL,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£5,060.00",NEW LIFE COMMUNITY CHURCH FAMILY CENTRAL,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/19/22 CRAY JUNIOR ACTIVITY DAYS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£974.17,CRAY JUNIOR ACTIVITY CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/18/22 MILNROW MORRIS TROUPE DRESSES,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£840.00,MILNROW MORRIS TROUPE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PEF/03/23 & PF/18/23 LITTLEBOROUGH FOOD AND DRINK FESTIVAL 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,740.00",LITTLEBOROUGH FOOD AND DRINK FESTIVAL,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/06/23 FUNCTIONAL FITNESS COURSE (PENNINES TOWNSHIP),NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,340.00",YOUR TRUST CHARITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/02/23 ST ANN`S MORRIS TROUPE ANNUAL CHAMPIONSHIPS 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,596.96",ST ANNS MORRIS TROUPE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/03/23 EBOR STUDIOS EQUIPMENT AND RESOURCES,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,977.33",EBOR STUDIO MEMBERS GROUP,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/08/23 DEARNLEY METHODIST CHURCH REMEDIAL DRY ROT WORKS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,240.00",DEARNLEY METHODIST CHURCH,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/07/23 FIRGROVE WOMEN AND GIRLS RUGBY LEAGUE DEVELOPMENT PROGRAMME,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£14,453.00",ROCHDALE HORNETS SPORTING FOUNDATION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PF/16/21 LITTLEBOROUGH CHRISTMAS LIGHTS EVENT 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,342.00",LITTLEBOROUGH EVENTS & ASSOCIATION FORUM,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PW/23/23 FESTIVE FOOD DRIVE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£450.00,SERVING HUMANITEE CIC,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PW/10/22 MILNROW & NEWHEY DISTRICT COMMUNITY CARNIVAL 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,000.00",MILNROW AND  DISTRICT CARNIVAL COMMITTEE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PW/09/23 WARDLE ANDERSON BRASS BAND EQUIPMENT FOR NATIONALS COMPETITION,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,000.00",WARDLE BRASS ASSOCIATION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PW/36/23 LITTLEBOROUGH ARTS FESTIVAL 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,656.00",LITTLEBOROUGH ARTS FESTIVAL,1156946
Rochdale Borough Council,GRANT PAYMENT - PW/15/23 WATERGROVE BIRD HIDE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,177.15",WARDLE CIVIC SOCIETY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PW/26/23 HARE HILL HOUSE AND HARE HILL PARK AED PROVISION,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£750.00,MOOREND DEVELOPMENT TRUST LIMITED,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PTC/11/23 & PW/35/23 NEW LIFE COMMUNITY CHURCH MILNROW ROOF PROJECT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,000.00",NEW LIFE COMMUNITY CHURCH MILNROW,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PW/31/23 GIRLGUIDING NORTH WEST ENGLAND INTERNATIONAL COMMUNITY EXPERIENCE (ICE) TRIP SWEDEN ( - REF ICE24-2440853-2),NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£750.00,GIRLGUIDING NORTH WEST ENGLAND,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PW/14/23 SMALLBRIDGE PANTRY CHRISTMAS HAMPERS 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£960.00,OUR LOCAL PANTRY SMALLBRIDGE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PW/04/23 LITTLEBOROUGH RUNNERS ROCHDALE HALF MARATHON WATER STATION,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£500.00,LITTLEBOROUGH RUNNERS,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/09/23 INDEPENDENCE DAY CRICKET TOURNAMENT 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£550.00,PUNJAB CRICKET CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT (ROCHDALE SOUTH TOWNSHIP) - RP/17/23 & W/56/23 DALES VOLLEYBALL CLUB TOURNAMENT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£260.00,DALES VOLLEYBALL CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT (ROCHDALE SOUTH TOWNSHIP) RP/24/23 SEW FABULOUS SISTERS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,000.00",KASHMIR YOUTH PROJECT,1003644
Rochdale Borough Council,GRANT PAYMENT (ROCHDALE SOUTH TOWNSHIP) - RP/25/23 BASA ACTIVE COMMUNITY,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,710.00",BASA,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/08/23 FUNCTIONAL FITNESS COURSE (ROCHDALE SOUTH TOWNSHIP),NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,440.00",YOUR TRUST CHARITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/06/23 & W/17/23 BALDERSTONE COMMUNITY RUGBY LEAGUE INITIATIVE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£12,456.98",ROCHDALE HORNETS SPORTING FOUNDATION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/69/22 PRESENTATION OF AWARDS TO JOURNALISTS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,875.00",PRESS CLUB OF PAKISTAN UK ROCHDALE BRANCH,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/40/22 KIRKHOLT AFTER SCHOOL CLUB,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",ST THOMAS CHURCH,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/50/22 SOUND EQUIPMENT FOR CASTLETON VILLAGE GREEN,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£330.00,CASTLETON COMMUNITY ASSOCIATION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/32/22 & M/67/22 ARTS ON BRIDGES,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,323.38",BLUE PITS HOUSING ACTION,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/24/23 & W/39/23 NEWBOLD COMMUNITY GROWING TOGETHER GARDEN PROJECT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£296.44,NEWBOLD COMMUNITY GROWING TOGETHER,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - M/71/22 FOOTBALL COMPETITION EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,600.00",FRIENDS GROUP OF ROCHDALE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - W/41/22 SYKE CHRISTMAS EVENTS 2022,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£640.00,NORTH AREA PARTNERSHIP,1110073
Rochdale Borough Council,GRANT PAYMENT - PF/16/21 & PTCF/01/21 LITTLEBOROUGH RUSHBEARING FESTIVAL 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,200.00",LITTLEBOROUGH EVENTS & ASSOCIATION FORUM,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PW/10/22 MILNROW & NEWHEY DISTRICT COMMUNITY CARNIVAL 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£500.00,MILNROW AND  DISTRICT CARNIVAL COMMITTEE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT (ROCHDALE NORTH TOWNSHIP) - RP/16/23 DALES VOLLEYBALL CLUB SESSIONS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,120.00",DALES VOLLEYBALL CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT (ROCHDALE NORTH TOWNSHIP) - RP/20/23 SEW FABULOUS SISTERS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,000.00",KASHMIR YOUTH PROJECT,1003644
Rochdale Borough Council,GRANT PAYMENT - RP/29/23 ROCHDALE SCIENCE EXTRAVAGANZA 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£5,130.10",ROCHDALE SCIENCE INITIATIVE CIC,11958704
Rochdale Borough Council,GRANT PAYMENT - RP/30/23 JUNIOR COMMUNITY CRICKET AT ROCHDALE LEISURE CENTRE (PROJECT MANAGER: ),NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,310.00",YOUR TRUST CHARITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT (ROCHDALE NORTH TOWNSHIP) - RP/26/23 BASA ACTIVE COMMUNITY,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,550.00",BASA,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/23/23 CARING AND SHARING COSY SPACE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,661.24",CARING AND SHARING,SCO43781
Rochdale Borough Council,GRANT PAYMENT - RP/31/23 ROC & ROLLS COMMUNITY CAFE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,307.41",ANGIES ANGELS COMMUNITY GROUP,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/19/23 ROCHDALE UNDERWATER HOCKEY PROMOTION OF CLUB AND NEW PLAYERS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,058.00",ROCHDALE SNORKLERS CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/07/23 FUNCTIONAL FITNESS COURSE (ROCHDALE NORTH TOWNSHIP,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,670.00",YOUR TRUST CHARITY,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/01/23 SUPPORTING CHILDREN AND YOUNG PEOPLE FROM OUR LOCAL BAME COMMUNITIES,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,930.00",AL ABBAS INSTITUTE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - RP/03/23 SUMMER RESIDENTIAL ADVENTURE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,300.00",BECOME UNITED,UNKNOWN
Rochdale Borough Council,Food and Digital solutions grant funding,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£168,500.00",ACTION TOGETHER,1165512
Rochdale Borough Council,Rochdale council grant funded contribution to SafetNet enhanced accommodation services for 2023/24   DLUCH funded,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£53,689.00",SAFENET DOMESTIC ABUSE SERVICE,1091544
Rochdale Borough Council,RSCP 2023/24 grant funding contribution to Dispersed accommodation and Housing Related support for Criminal Justice clients with complex needs provided by Stepping Stone Project.,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£26,000.00",STEPPING STONE PROJECTS,1004375
Rochdale Borough Council,additional 6 month RSCP grant funding contribution for Petrus Outreach worker,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£17,709.55",PETRUS COMMUNITY,510904
Rochdale Borough Council,RSCP grant funding contribution to We Move Mentoring Project coordinated by GMP for 2023/24. Funding agreed by RSCP board,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£20,000.00",POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,UNKNOWN
Rochdale Borough Council,Rochdale Safer Communities Partnership grant funding contribution to Foundation 92 for dedicated outreach support,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£60,000.00",FOUNDATION 92,1180246
Rochdale Borough Council,RSCP grant funding contribution to foundation 92 outreach worker,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£15,000.00",FOUNDATION 92,1180246
Rochdale Borough Council,RSCP grant funding contribution towards Specialist Young Persons Worker (Early Break) VCSE for 2023/24 serious youth violence partnership project,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£32,000.00",EARLY BREAK,1072052
Rochdale Borough Council,GM VRU grant funding contribution for a Your Trust Dedicated Sports Engagement offer for 2023/24. Funding agreed by GM VRU to support local serious youth violence offer,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£24,000.00",YOUR TRUST TRADING,1118610
Rochdale Borough Council,GM VRU Grant funded mentoring coordinator programme for Rochdale 2023/24,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£30,000.00",ROCHDALE CONNECTION TRUST,1074736
Rochdale Borough Council,GM VRU and RSCP grant funding contribution to Rochdale Knife Amnesty Project to help reduce serious violence     Knife surrender bin with chute deposit system x 3  Powder coat x 3  ground bolts (set of 4) x 3,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,032.97",WYBONE LIMITED,UNKNOWN
Rochdale Borough Council,Grant: Remembering Srebrenica event:  11th July 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",ROCHDALE COUNCIL OF MOSQUES,1148918
Rochdale Borough Council,Grant funding allocation 2023 - Nigeria Community Association,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",NIGERIA COMMUNITY ASSOCIATION,11604363
Rochdale Borough Council,Grant: Pride in the Park    CH655 (Rochdale in Rainbows).,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,000.00",YOUR TRUST CHARITY,1118610
Rochdale Borough Council,"Grant: Hate Crime video, Women, young people and GMP",NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,500.00",BASA,13872230
Rochdale Borough Council,"Grant: Hate Crime - Work with new and emerging communities, homeless and disability groups",NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£870.00,ARMY OF KINDNESS,UNKNOWN
Rochdale Borough Council,Grant: Hate Crime video and educational resources for schools - Hate Crime Awareness Week,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,000.00",ROCHDALE BANGLADESHI PARTNERSHIP PROJECT,UNKNOWN
Rochdale Borough Council,Grant (Hate Crime)- Football cohesion tournament - Armed Forces Week,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£800.00,GET TOGETHER AFTER SERVING CIC,14021427
Rochdale Borough Council,Grant: Hate Crime awareness event - Young people and Intersectionality,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£600.00,ASPIRE 2 INSPIRE COMMUNITIES CIC,12339943
