Rok(y) podpory,Název žadatele,Název projektu,Oblast podpory,Poskytovatel dotace,Přidělená částka [Kč],Název výzvy;;;;
"2023,""TROJKA OSTRAVA, z.ú."",Ostrava zpívá gospel 2023,Oblast kultura,Magistrát města Ostravy,120000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023";;;;
"2023,Tělovýchovná Jednota Vítkovice - Svinov z.s.,""Vytvoření podmínek pro sportovní činnost a akce fotbalového klubu, zejména mládeže Tělovýchovné jednoty Vítkovice-Svinov z.s."",Oblast tělovýchovy a sportu,Magistrát města Ostravy,394000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
"2023,""Střední škola služeb a podnikání, Ostrava-Poruba, příspěvková organizace"",Ostravská fauna a flóra,Oblast školství,Magistrát města Ostravy,40000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
2023,SeePOINT s.r.o.,Galerie VENKU - Ostrava mýma očima 2,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023;;;;
2023,Mgr. Halina Františáková,Miniatury moudrosti,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023;;;;
2022,Družstvo NAPROTI,Zaměstnávání osob s handicapem v sociálním podniku Mléčný bar NAPROTI a Přípravna NAPROTI.,Oblast podpora osob s handicapem,Magistrát města Ostravy,50000,Mimořádná dotace;;;;
"2023,""Mateřská škola Čtyřlístek, Ostrava-Poruba, Skautská 1082, příspěvková organizace"",Malý badatel ve světě vědy a techniky,Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,250000,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2023";;;;
2023,Basketbalový klub NH Ostrava a.s.,Podpora Basketbalového klubu NH Ostrava a.s. v roce 2023,Oblast významných sportovních klubů,Magistrát města Ostravy,3000000,Program na podporu významných sportovních klubů z rozpočtu statutárního města Ostravy pro rok 2023;;;;
"2023,""Dětský folklorní soubor - HOLÚBEK, z.s."",Dětský mezinárodní folklorní festival „DĚTI A TRADICE“,Oblast kultura,Magistrát města Ostravy,120000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023";;;;
2023,FC SLAVIA MICHÁLKOVICE z. s.,Celoroční systematická a plánovaná činnost řádně registrovaných členůfotbalového klubu FC SLAVIA MICHÁLKOVICE z. s,Oblast tělovýchovy a sportu,Magistrát města Ostravy,510000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023;;;;
"2023,""PERSEUS, z.s."",Talent TV OVA 2023,Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,0,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2023";;;;
"2023,""Mateřská škola Ostrava, Hornická 43A, příspěvková organizace"",Kreativitou za Duhou,Oblast školství,Magistrát města Ostravy,110000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""PERSEUS, z.s."",10. Mezinárodní filmový festival T-film 2023,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023";;;;
"2023,TJ SOKOL Pustkovec z.s.,""Podpora trenérů a cvičitelů, včetně provozních nákladů za nájmy a energie."",Oblast tělovýchovy a sportu,Magistrát města Ostravy,307000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
"2023,""Základní škola Ostrava-Hrabůvka, Provaznická 64, příspěvková organizace"",Doučování žáků I,Oblast školství,Magistrát města Ostravy,40000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Základní škola Ostrava-Hrabůvka, Provaznická 64, příspěvková organizace"",Školní knihovna nás baví II,Oblast školství,Magistrát města Ostravy,200000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Mateřská škola Ostrava - Bartovice,  Za Ještěrkou 8,  příspěvková organizace"",Ten dělá to a ten zas tohle a všichni dohromady zvládnem toho moc,Oblast školství,Magistrát města Ostravy,60000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""MH stolní tenis Ostrava, z.s."",""Podpora celoroční činnosti MH stolní tenis Ostrava,z. s. pro rok 2023"",Oblast významných sportovních klubů,Magistrát města Ostravy,700000,Program na podporu významných sportovních klubů z rozpočtu statutárního města Ostravy pro rok 2023";;;;
"2023,""Waldorfská základní škola a mateřská škola Ostrava, příspěvková organizace"",Rozvíjení dětí v dovednosti číst a rozumět slovu,Oblast školství,Magistrát města Ostravy,50000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Janáčkova konzervatoř v Ostravě, příspěvková organizace"",""Kandrdasové na scénu, prosím! XVI."",Oblast školství,Magistrát města Ostravy,90000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Základní škola a mateřská škola Ostrava-Bělský Les, B.Dvorského 1, příspěvková organizace"",Aktivitami školní knihovny vedeme děti ke čtenářství,Oblast školství,Magistrát města Ostravy,60000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Základní škola a mateřská škola Ostrava-Bělský Les, B.Dvorského 1, příspěvková organizace"",Doučování pro všechny,Oblast školství,Magistrát města Ostravy,40000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Pecha Kucha Ostrava, z.s."",PechaKucha Night Ostrava,Oblast kultura,Magistrát města Ostravy,130000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023";;;;
"2023,""Základní škola PRIGO, s.r.o."",Recykláček ve výuce,Oblast školství,Magistrát města Ostravy,0,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Střední škola PRIGO, s.r.o."",Environmentální inspiromat v praxi,Oblast školství,Magistrát města Ostravy,0,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Lékařské a přírodovědné gymnázium PRIGO, s.r.o."",Environmentální výuka v praxi,Oblast školství,Magistrát města Ostravy,0,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Futsal club Ostrava, z.s."",Celoroční činnost mládeže Futsal clubu Ostrava do 21 let,Oblast tělovýchovy a sportu,Magistrát města Ostravy,204000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
"2023,""Cyklistické sdružení MAX-CURSOR, z.s."",DĚTSKÁ LIGA HORSKÝCH KOL 2023,Oblast tělovýchovy a sportu,Magistrát města Ostravy,87000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
"2023,""Tenisový klub Talent, zapsaný spolek"",Celoroční činnost - pravidelné oddílové tréninky dětí a mládeže,Oblast tělovýchovy a sportu,Magistrát města Ostravy,54000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
"2023,""Mateřská škola Ostrava, Lechowiczova 8, příspěvková organizace"",""S knihou sníme, poznáváme, proto knihy rádi máme"",Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,100000,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2023";;;;
"2023,""Vodní sporty Ostrava, z. s. "",""Podpora celoroční sportovní činnosti spolku Vodní sporty Ostrava, z.s., reprezentujícího město Ostravu ve vodním slalomu na divokých vodách."",Oblast tělovýchovy a sportu,Magistrát města Ostravy,0,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
"2023,""Waldorfská základní škola a mateřská škola Ostrava, příspěvková organizace"",Z řemesla se lze pozvednout k umění. Z fušování nikdy.,Oblast školství,Magistrát města Ostravy,70000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Základní škola, Ostrava-Poruba, K. Pokorného 1382, příspěvková organizace"",Knihomol 2023,Oblast školství,Magistrát města Ostravy,100000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Základní škola, Ostrava-Poruba, K. Pokorného 1382, příspěvková organizace"",Barevná škola 2023,Oblast školství,Magistrát města Ostravy,40000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Soukromá základní škola a mateřská škola, s.r.o."",Pořízení počítačů pro žáky se SVP pro rozvoj podnikavosti a finanční gramotnosti.,Oblast školství,Magistrát města Ostravy,0,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
2023,Jezdecký klub Baník Ostrava,Sportovní činnost v Jezdeckém klubu Baník Ostrava,Oblast tělovýchovy a sportu,Magistrát města Ostravy,72000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023;;;;
"2023,""Základní škola, Ostrava-Poruba, K. Pokorného 1382, příspěvková organizace"",Péče o nadané žáky 2023,Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,490000,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2023";;;;
"2023,""1. FC Poruba - Petřvald na Moravě, z.s."",""Celoroční činnost dětí a mládeže v systému SpSM KFS 4-21 let ve fotbalovém klubu 1. FC Poruba, z.s."",Oblast tělovýchovy a sportu,Magistrát města Ostravy,1226000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
2023,FBC OSTRAVA z.s.,Podpora florbalového klubu FBC Ostrava pro rok 2023,Oblast významných sportovních klubů,Magistrát města Ostravy,6000000,Program na podporu významných sportovních klubů z rozpočtu statutárního města Ostravy pro rok 2023;;;;
"2023,""ASOCIACE ŘECKÝCH OBCÍ V ČESKÉ REPUBLICE, z.s. - Řecká obec Ostrava, pobočný spolek"",Život řecké národnostní menšiny v Ostravě v roce 2023,Oblast kultura,Magistrát města Ostravy,90000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023";;;;
2023,FBC OSTRAVA z.s.,OSTRAVA CUP 2023,Oblast sportovních akcí,Magistrát města Ostravy,400000,Program na podporu sportovních akcí na území statutárního města Ostravy v roce 2023;;;;
2023,Mateřská škola AGEL s.r.o.,Kouzla našeho regionu v MŠ AGEL,Oblast školství,Magistrát města Ostravy,50000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ;;;;
2023,Mateřská škola AGEL s.r.o.,Podpora nadaných dětí v MŠ AGEL II.,Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,170000,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2023;;;;
2023,SKI Vítkovice - Bílá z.s.,Zajištění celoroční činnosti lyžařského oddílu SKI Vítkovice-Bílá z.s.,Oblast tělovýchovy a sportu,Magistrát města Ostravy,409000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023;;;;
"2023,""Střední průmyslová škola, Ostrava-Vítkovice, příspěvková organizace"",3D TALENT 2023,Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,250000,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2023";;;;
2023,Mgr. Halina Františáková,Cyklus komorních koncertů 2023,Oblast kultura,Magistrát města Ostravy,170000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023;;;;
"2023,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",Posilujeme imunitu předmětů ohrožených pandemií II.,Oblast školství,Magistrát města Ostravy,130000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",Pomáháme s učením,Oblast školství,Magistrát města Ostravy,40000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",Kniha přítel člověka II.,Oblast školství,Magistrát města Ostravy,100000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2023 ";;;;
"2023,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",""MŠ Triangl IV. - rozvoj technické, přírodovědné a funkční gramotnosti"",Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,300000,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2023";;;;
"2023,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",""Triangl IV. - rozvoj technické, přírodovědné a funkční gramotnosti"",Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,500000,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2023";;;;
2023,Tělocvičná jednota Sokol Vítkovice,Podpora ligových zápasníku a jejich následovníků ve volném stylu TJ Sokol Vítkovice v roce 2023,Oblast významných sportovních klubů,Magistrát města Ostravy,1100000,Program na podporu významných sportovních klubů z rozpočtu statutárního města Ostravy pro rok 2023;;;;
"2023,Tělocvičná jednota Sokol Vítkovice,""20. ročník mezinárodního turnaje v zápase ve volném stylu """"Memoriál Jiřího Klepca"""""",Oblast sportovních akcí,Magistrát města Ostravy,80000,Program na podporu sportovních akcí na území statutárního města Ostravy v roce 2023";;;;
2023,Česká baseballová asociace,Mistrovství Evropy mužů v beseballe 2023,Oblast sportu,Magistrát města Ostravy,3000000,Mimořádná dotace;;;;
"2023,""KFV Roub Vítkovice, z.s."",Celoroční činnost klubu futsalu KFV Roub Vítkovice v oblasti dětí a mládeže v roce 2023,Oblast tělovýchovy a sportu,Magistrát města Ostravy,317000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
2023,Vysoká škola báňská - Technická univerzita Ostrava,Gaudeamus 2023,Oblast školství,Magistrát města Ostravy,200000,Mimořádná dotace;;;;
"2023,""Campanula vodáci, z.s."",Pravidelná činnost Campanula vodáků pro rok 2023,Oblast tělovýchovy a sportu,Magistrát města Ostravy,63000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
2023,Tělocvičná jednota Sokol Radvanice - Bartovice,Podpora oddílů florbalu a stolního tenisu - žáci a dorost,Oblast tělovýchovy a sportu,Magistrát města Ostravy,66000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023;;;;
"2023,Tělocvičná jednota Sokol Radvanice - Bartovice,""Oprava budovy Sokolovny – hromosvody, podlahy, sklepy a část střechy"",Oblast sportovní infrastruktury ,Magistrát města Ostravy,0,""Program na podporu sportovní infrastruktury – výstavba, rekonstrukce, opravy na území statutárního města Ostravy v roce 2023""";;;;
"2023,""Dragon Boat Ostrava, z.s."",Podpora činnosti sportovního spolku 2023,Oblast tělovýchovy a sportu,Magistrát města Ostravy,47000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023";;;;
"2023,""Cyklistické sdružení MAX-CURSOR, z.s."",OSTRAVSKÝ CHACHAR 2023,Oblast sportovních akcí,Magistrát města Ostravy,200000,Program na podporu sportovních akcí na území statutárního města Ostravy v roce 2023";;;;
2023,CDU SPORT - VOLNÝ ČAS z.s.,Podpora celoroční sportovní činnosti kroužku CDU SPORT pro děti a mládež 2023,Oblast tělovýchovy a sportu,Magistrát města Ostravy,54000,Program na podporu tělovýchovy a sportu z rozpočtu statutárního města Ostravy pro rok 2023;;;;
2023,Ostravská univerzita,Noc vědců 2023,Oblast školství,Magistrát města Ostravy,200000,Mimořádná dotace;;;;
2023,Ostravská univerzita,Gaudeamus 2023,Oblast školství,Magistrát města Ostravy,200000,Mimořádná dotace;;;;
"2023,""Kultura pro Slezskou Ostravu, z.s."",SORFEST - Slezskoostravský Rock-Fest,Oblast kultura,Magistrát města Ostravy,200000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023";;;;
"2023,""Asociace TRIGON, o.p.s."",Centrum duševního zdraví Ostrava,Oblast sociální péče,Magistrát města Ostravy,1431000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2023 včetně Podmínek pro jednotlivé oblasti";;;;
2023,Diakonie ČCE - středisko v Ostravě,Zažízení pro děti vyžadující okamžitou pomoc Náruč,Oblast sociální péče,Magistrát města Ostravy,6600000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2023 včetně Podmínek pro jednotlivé oblasti;;;;
"2023,""Sjednocená organizace nevidomých a slabozrakých České republiky, zapsaný spolek"",Festival Dny umění nevidomých 2023,Oblast kultura,Magistrát města Ostravy,30000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023";;;;
2023,Fakultní nemocnice Ostrava,Multidisciplinární tým pro děti a adolescenty 2023,Oblast sociální péče,Magistrát města Ostravy,955000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2023 včetně Podmínek pro jednotlivé oblasti;;;;
"2023,""Společnost senior, z.s."",XXV. ročník časopisu SeniorTip,Oblast kultura,Magistrát města Ostravy,80000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2023";;;;
2023,Vysoká škola báňská - Technická univerzita Ostrava,Noc vědců 2023,Oblast školství,Magistrát města Ostravy,200000,Mimořádná dotace;;;;
"2022,""Český svaz házené, z. s."",Kvalifikační utkání o postup na Mistrovství Evropy,Oblast sportu,Magistrát města Ostravy,100000,Mimořádná dotace";;;;
2023,Ostrava Chess z.s.,Mezinárodní šachový festival Ostravský koník 2023,Oblast sportu,Magistrát města Ostravy,500000,Mimořádná dotace;;;;
2023,Maratón klub Seitl Ostrava z.s.,RBP Ostrava City Marathon,Oblast sportu,Magistrát města Ostravy,700000,Mimořádná dotace;;;;
2023,Český atletický svaz,Czech Indoor Gala Ostrava 2023,Oblast sportu,Magistrát města Ostravy,750000,Mimořádná dotace;;;;
"2023,""RAUL, s.r.o."",Ostrava Beach Pro ,Oblast sportu,Magistrát města Ostravy,5500000,Mimořádná dotace";;;;
2023,RWR s.r.o.,Mezinárodní tenisový turnaj mužů 2023,Oblast sportu,Magistrát města Ostravy,750000,Mimořádná dotace;;;;
"2023,""TACYKLISTIKA, z.s."",UEC evropský pohár v cyklokrosu Ostrava 2023,Oblast sportu,Magistrát města Ostravy,1000000,Mimořádná dotace";;;;
"2023,""Sdružení sportovních klubů Vítkovice, z.s."",Zlatá tretra Ostrava 2023,Oblast sportu,Magistrát města Ostravy,6000000,Mimořádná dotace";;;;
"2023,""Sdružení sportovních klubů Vítkovice, z.s."",Mistrovství ČR mužů a žen v atletice v hale,Oblast sportu,Magistrát města Ostravy,300000,Mimořádná dotace";;;;
"2023,""Sdružení sportovních klubů Vítkovice, z.s."",""Mistrovství ČR juniorů, juniorek, dorostenců a dorostenek v atletice v hale"",Oblast sportu,Magistrát města Ostravy,300000,Mimořádná dotace";;;;
"2023,""Sdružení sportovních klubů Vítkovice, z.s."",Český běh žen 2023,Oblast sportu,Magistrát města Ostravy,700000,Mimořádná dotace";;;;
2023,Jezdecký klub Baník Ostrava,59. ročník Velké ceny Ostravy,Oblast sportu,Magistrát města Ostravy,350000,Mimořádná dotace;;;;
"2022,Akademie FC Baník Ostrava z.s.,Kompenzace zvýšených cen elektřiny 2022 - AFCB,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,100000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,""Hokejový klub RT TORAX PORUBA, z.s."",poskytnutí pěněžních prostředků z rozpočtu statutárního města Ostravy,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,665000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,""Hokejový klub RT TORAX PORUBA 2011, z.s."",poskytnutí pěněžních prostředků z rozpočtu statutárního města Ostravy,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,222000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,""Pohybová všestrannost, z.s."",dotaci v rámci programu na zmírnění ekonomických dopadů rostoucích cen energií,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,30000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,""Bruslařský klub Ostrava, z.s."",dotaci z program SMO na zmírnění ekonomických dopadůrostoucích cen energií,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,250000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,""Klub plaveckých sportů Ostrava, z.s."",Podporu na zmírnění ekonomických dopadů rostoucích cen energií,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,186000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,Tělovýchovná jednota Baník Ostrava,Finanční podporu na zmírnění nárustu cen energií pro TJ Baník Ostrava,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,279000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,""VK Ostrava, s.r.o."",Dotace na zmírnění dopadů rostoucích cen energií v Hale Sareza,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,30000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,""Dolní oblast VÍTKOVICE, z.s."",poskytnutí peněžních prostředků na zmírnění ekonomických dopadů rostoucích cen energie,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,1000000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,""MENS SANA, z.ú."",DOFINANCOVÁNÍ POBYTOVÉ SOCIÁLNÍ SLUŽBY CHRÁNĚNÉ BYDLENÍ PRO OSOBY S DUŠEVNÍM ONEMOCNĚNÍM,Oblast sociální péče,Magistrát města Ostravy,175000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti";;;;
"2022,""TJ SOKOL HRABŮVKA, z.s."",příspěvek na zvýšení cen plynu,Oblast zmírnění ekonomických dopadů rostoucích cen energie,Magistrát města Ostravy,75000,""Program na zmírnění ekonomických dopadů rostoucích cen energií na činnost subjektů z oblasti sportu a tělovýchovy, kultury, volnočasových a prorodinných aktivit na území statutárního města Ostravy v roce 2022""";;;;
"2022,""Boxing King Club, z.s."",Boxing King Club 2022,Oblast sportu,Magistrát města Ostravy,20000,Mimořádná dotace";;;;
2022,ALZHEIMER HOME z.ú.,ALZHEIMER HOME Ostrava 2022,Oblast sociální péče,Magistrát města Ostravy,625000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti;;;;
"2022,""Fighting arena Ostrava, z. s."",Moravia open 2022,Oblast sportu,Magistrát města Ostravy,50000,Mimořádná dotace";;;;
"2022,Bc. Petra Pastorová,""Podpora sportovní přípravy maratonské běžkyně Petry Pastorové na MS na 50 km v Sottilo de le Adrada, Španělsko"",Oblast sportu,Magistrát města Ostravy,30000,Mimořádná dotace";;;;
2022,Akademie FC Baník Ostrava z.s.,BANÍK MLÁDEŽNICKÉ TURNAJE 2022,Oblast sportu,Magistrát města Ostravy,300000,Mimořádná dotace;;;;
"2022,""FC Baník Ostrava, a. s."",Účast družstva žen v 1. lize a Poháru žen FAČR,Oblast sportu,Magistrát města Ostravy,1000000,Mimořádná dotace";;;;
2022,Salesiánské středisko volného času Don Bosco,Pobytové a příměstské tábory 2022,Oblast volného času,Magistrát města Ostravy,20000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti;;;;
2022,TROJHALÍ KAROLINA,Pořízení překážek pro skateboarding v Trojhalí Karolina,Oblast sportu,Magistrát města Ostravy,356000,Mimořádná dotace;;;;
2022,Spolek Madleine,Děti k dětem – kulturně vzdělávací činnost pro děti z dětských domovů,Oblast kultura,Magistrát města Ostravy,0,Mimořádná dotace;;;;
"2022,""Art Movement, z.s."",Světy české animace,Oblast kultura,Magistrát města Ostravy,80000,Mimořádná dotace";;;;
2022,Podané ruce - osobní asistence,Poskytování služby osobní asistence,Oblast sociální péče,Magistrát města Ostravy,300000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti;;;;
2022,Diakonie ČCE - středisko v Ostravě,Pečovatelská služba v rodinách,Oblast sociální péče,Magistrát města Ostravy,60000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti;;;;
"2022,Slezská diakonie,""SILOE Ostrava, domov se zvláštním režimem"",Oblast sociální péče,Magistrát města Ostravy,200000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti";;;;
2022,Centrum pro zdravotně postižené Moravskoslezského kraje o.p.s.,Osobní asistence Ostravsko,Oblast sociální péče,Magistrát města Ostravy,300000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti;;;;
"2022,Slezská diakonie,""ELIM Ostrava, pečovatelské služby"",Oblast sociální péče,Magistrát města Ostravy,300000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti";;;;
"2022,Slezská diakonie,""Duhový dům Ostrava, denní stacionář"",Oblast sociální péče,Magistrát města Ostravy,150000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti";;;;
"2022,Slezská diakonie,""Duhový dům Ostrava, domov pro osoby se zdravotním postižením"",Oblast sociální péče,Magistrát města Ostravy,250000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti";;;;
"2022,Slezská diakonie,""Duhový dům Ostrava,odlehčovací služby"",Oblast sociální péče,Magistrát města Ostravy,0,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti";;;;
2022,Prádelna PRAPOS s.r.o.,Zaměstnávání handicapovaných osob v chráněné dílně,Oblast podpora osob s handicapem,Magistrát města Ostravy,200000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti;;;;
