Rok(y) podpory,Název žadatele,Název projektu,Oblast podpory,Poskytovatel dotace,Přidělená částka [Kč],Název výzvy;;;;
2024,BOTUMY s.r.o.,Zaměstnávání lidí s duševním onemocněním v sociálním podniku BOTUMY,Oblast podpora osob s handicapem,Magistrát města Ostravy,150000,Mimořádná dotace;;;;
"2024,MIKASA z.s.,""Domov MIKASA - místo pro život osob s autismem, mentálním postižením a chováním náročným na péči"",Oblast sociální péče,Magistrát města Ostravy,155000,Mimořádná dotace";;;;
"2024,""Společnost pro ranou péči, pobočka Ostrava"",Raná péče pro rodiny s dětmi se zrakovým a kombinovaným postižením,Oblast sociální péče,Magistrát města Ostravy,50000,Mimořádná dotace";;;;
"2024,Slezská diakonie,""SILOE Ostrava, domov se zvláštním režimem (mimořádná individuální dotace - oprava havárie rozvodů vody)"",Oblast sociální péče,Magistrát města Ostravy,200000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2024 včetně Podmínek pro jednotlivé oblasti";;;;
"2024,""Sdružení sportovních klubů Vítkovice, z.s."",MČR v para atletice s mezinárodní účastí,Oblast sportu,Magistrát města Ostravy,0,Mimořádná dotace";;;;
2024,IdeaHUB z.s.,Technické inovace v praxi,Oblast podpory podnikání v Ostravě,Magistrát města Ostravy,0,Mimořádná dotace;;;;
"2024,""Start Up MSK, z.s."",Startovárna Ostrava,Oblast podpory podnikání v Ostravě,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Asociace TOM ČR, TOM 19061 Krokodýl"",Krokodýl - podpora rozjedu podnikání,Oblast podpory podnikání v Ostravě,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Valory, s.r.o."",Podpora gastro projektů,Oblast podpory podnikání v Ostravě,Magistrát města Ostravy,1200000,Mimořádná dotace";;;;
2024,BVÚ - Centrum pro volný čas z.s.,„Úprava otopné soustavy v souvislosti s ukončením provozu kotlů na tuhá paliva.“,Oblast volného času,Magistrát města Ostravy,31000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2024 včetně Podmínek pro jednotlivé oblasti;;;;
2024,Salesiánské středisko volného času Don Bosco,Tábory pro děti ze sociálně znevýhodněného prostředí,Oblast volného času,Magistrát města Ostravy,32000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2024 včetně Podmínek pro jednotlivé oblasti;;;;
2024,Pro Dara bags s.r.o.,Podpora podnikání v textilní výrobě a oděvnictví v Ostravě ,Oblast podpory podnikání v Ostravě,Magistrát města Ostravy,497000,Mimořádná dotace;;;;
"2024,""RegioHub, s. r. o."",Řemeslný akcelerátor 2,Oblast podpory podnikání v Ostravě,Magistrát města Ostravy,1275000,Mimořádná dotace";;;;
"2024,""BOXING OSTRAVA, z.s."",Extraliga boxu České boxerské asociace,Oblast sportu,Magistrát města Ostravy,340000,Mimořádná dotace";;;;
2024,Bc. Petra Pastorová,Podpora sportovní přípravy ultramaratonské běžkyně Petry Pastorové na MS v běhu na 100 km v Indii,Oblast sportu,Magistrát města Ostravy,0,Mimořádná dotace;;;;
2024,TS BEAT UP z.s.,Reprezentace TS BEAT UP OSTRAVA na Mistrovství Evropy v Chorvatsku,Oblast sportu,Magistrát města Ostravy,0,Mimořádná dotace;;;;
2024,PARA HOCKEY OSTRAVA z. s.,International Para Hockey Cup 2024,Oblast sportu,Magistrát města Ostravy,1200000,Mimořádná dotace;;;;
2024,GDM ART z.s.,Transforma,Oblast kultura,Magistrát města Ostravy,0,Mimořádná dotace;;;;
2024,MENTAL CAFÉ z.s.,Rozvoj a opečování projektu Mental Café v roce 2024 ,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace;;;;
"2024,""Mateřská škola U Dvoru, příspěvková organizace"",Angličtina hrou,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,134000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""TyfloCentrum Ostrava, o.p.s."",""Vybavení prostor TyfloCentra Ostrava, o.p.s."",Oblast sociální péče,Magistrát města Ostravy,70000,Mimořádná dotace";;;;
"2024,""Centrum pro rozvoj péče o duševní zdraví Moravskoslezského kraje, z. s."",""Bezpečnost a podpora klientů v sociální službě """"Pavučina"""""",Oblast sociální péče,Magistrát města Ostravy,60000,Mimořádná dotace";;;;
"2024,""Základní škola a mateřská škola Ostrava-Bělský Les, B.Dvorského 1, příspěvková organizace"",Jazyky nás spojují,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,240000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,Podané ruce - osobní asistence,S moderními nástroji ke kvalitní službě,Oblast sociální péče,Magistrát města Ostravy,260000,Mimořádná dotace;;;;
"2024,""JINAK, z.ú."",Zvýšení kvality práce a vybavení v STD JINAK Ostrava,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
2024,Družstvo NAPROTI,Zlepšování životních podmínek osob se zdravotním postižením v rámci jejich zaměstnávání,Oblast sociální péče,Magistrát města Ostravy,210000,Mimořádná dotace;;;;
2024,ŽEBŘÍK obecně prospěšná společnost,LOTO 2024,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace;;;;
"2024,""Základní škola a mateřská škola Ostrava-Zábřeh, Kosmonautů, příspěvková organizace"",Podpora bilingvní výuky a CLIL na sloučených ZŠ Kosmonautů,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,290000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Tyfloservis, o.p.s."",Kompenzační pomůcky pro osoby s těžkým zrakovým postižením v rámci sociální rehabilitace,Oblast sociální péče,Magistrát města Ostravy,50000,Mimořádná dotace";;;;
"2024,""VIZ - CENTRUM """"spolek"""""",Zaměstnávání osob s handicapem formou chráněných pracovních míst,Oblast sociální péče,Magistrát města Ostravy,80000,Mimořádná dotace";;;;
"2024,""Základní škola Ostrava-Zábřeh, Chrjukinova 12, příspěvková organizace"",Brána jazyků otevřená,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,237000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,Slezská diakonie,Malování v Duhovém domě,Oblast sociální péče,Magistrát města Ostravy,300000,Mimořádná dotace;;;;
"2024,""Spirála Ostrava, z.ú."",Zlepšení technických a akustických podmínek pracoviště pro poskytování sociální rehabilitace,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Mobilní hospic Ondrášek, o.p.s."",Úprava venkovních prostor pro vznik parkoviště pro Odlehčovací službu,Oblast sociální péče,Magistrát města Ostravy,250000,Mimořádná dotace";;;;
"2024,""Základní škola a mateřská škola Ostrava-Dubina, V.Košaře 6, příspěvková organizace"",Angličtina pro malé i velké II.,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,203000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
