id,name,proposer,status,category,district,year,budget,image,detail,longitude,latitude,ObjectId,x,y
2408,Zeleň a naučné prvky do školních zahrad,Monika  Grimová,nevítězný,Zeleň,Brno,2024,4900000,https://paro.damenavas.cz/images/project/2408/23241e94aef6946b1bd4.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2408,16.6083100432967,49.1949744319926,501,1848828.61695659,6308009.46360876
2409,Mezigenerační programy,Alena  Pohanělová,nevítězný,Senioři,Brno,2024,3000000,https://paro.damenavas.cz/images/project/2409/7edcf5b1e8f34292888b.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2409,16.6083100432967,49.1949744319926,502,1848828.61695659,6308009.46360876
2410,Úprava schodiště ze záchytného parkoviště,Pavel  Špacír ,nevítězný,Doprava,Brno-Bystrc,2024,615000,https://paro.damenavas.cz/images/project/2410/fb03a93f68c19e6c428f.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2410,16.522090055056,49.2207863590998,503,1839230.65176944,6312407.59338587
2412,Hra Lovci soch,Kateřina Havelková,nevítězný,Zábava,Brno,2024,440000,https://paro.damenavas.cz/images/project/2412/85a635858ccb8c7bf3f2.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2412,16.6083100432967,49.1949744319926,504,1848828.61695659,6308009.46360876
2416,Více herních prvků v parku na Kolišti,Barbora Chmelařová,nevítězný,Děti,Brno-střed,2024,4900000,https://paro.damenavas.cz/images/project/2416/39f0095e90fef0d66ec4.jpg?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2416,16.6126871196047,49.198150612488,505,1849315.87086237,6308550.53351189
2422,Čisté chodníky,Lucie  Vodičková,nevítězný,Jiné,Brno-střed,2024,4950000,https://paro.damenavas.cz/images/year-category-icons/29/d9f264ffe89c606f28cd.svg,https://paro.damenavas.cz/project/2422,16.6081473186719,49.1951571377045,506,1848810.50253423,6308040.58701961
2423,Nový park pro Brno v Králově Poli,Tereza Chladilová,nevítězný,Zeleň,Brno-Královo Pole,2024,4900000,https://paro.damenavas.cz/images/project/2423/2da618e75e294807e9a4.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2423,16.589526013216,49.233685435595,507,1846737.58829298,6314606.34560719
2424,Kavárna/bistro/bar Vinohrady – Bořetická,Zuzana  Vöröšová,nevítězný,Jiné,Brno-Vinohrady,2024,5000000,https://paro.damenavas.cz/images/project/2424/a5ebdb292b133fe6feab.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2424,16.6629411435018,49.2025985159947,508,1854910.1232129,6309308.3028582
2425,Lezecké vyžití pro děti na Svornosti,Daniela Korandová,nevítězný,Děti,Brno-Žabovřesky,2024,4800000,https://paro.damenavas.cz/images/project/2425/31ed2ab5581e6b7165b9.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2425,16.5809475544295,49.2148166390679,509,1845782.63862907,6311390.20044113
2427,Oprava zbytku cesty okolo Kraví hory,Petr Novák,nevítězný,Zeleň,Brno-střed,2024,4140000,https://paro.damenavas.cz/images/project/2427/b6fcb0e1703a59414d08.png?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2427,16.5922635704451,49.2015265190077,510,1847042.33176973,6309125.66531207
2432,Dobrodružné vodní hřiště pod Merhautovou,Ondřej Špulák,nevítězný,Děti,Brno-sever,2024,4999000,https://paro.damenavas.cz/images/project/2432/0b5814d5e1d7ceaa6758.jpg?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2432,16.629816777907,49.2134848670294,511,1851222.73570205,6311163.24919451
2433,Druhý dech parku náměstí SNP – Černá Pole,Barbora Gratiasová,nevítězný,Zeleň,Brno-sever,2024,5000000,https://paro.damenavas.cz/images/project/2433/6b43e45a4a6ae36b14d4.jpg?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2433,16.6201956640388,49.2185238407074,512,1850151.71820538,6312021.98793607
