rok;mc_ic;mc_nazev;odpa;pol;uz;nazev_odpa;nazev_pol;nazev_zdroj;rozpocet_schvaleny;rozpocet_upraveny;cerpani;
2025;00241717;HMP-MČ ŠEBEROV;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;22790.80;22790.80;5680.70;
2025;00231371;HMP-MČ ŠTĚRBOHOLY;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;2000.00;2000.00;0.00;
2025;00231371;HMP-MČ ŠTĚRBOHOLY;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;17143.20;17143.20;4272.80;
2025;45246858;HMP-MČ TROJA;006330;4137;000098348;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;28.10;
2025;45246858;HMP-MČ TROJA;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;10814.90;10814.90;2695.20;
2025;00241784;HMP-MČ ÚJEZD;006330;4137;000098193;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;69.94;
2025;00241784;HMP-MČ ÚJEZD;006330;4137;000098348;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;18.16;
2025;00241784;HMP-MČ ÚJEZD;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;600.00;600.00;0.00;
2025;00241784;HMP-MČ ÚJEZD;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;25438.50;25438.50;6339.90;
2025;00231185;HMP-MČ VELKÁ CHUCHLE;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;20175.60;20175.60;5028.60;
2025;00240982;HMP-MČ VINOŘ;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;409.50;409.50;0.00;
2025;00240982;HMP-MČ VINOŘ;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;34689.70;34689.70;8648.00;
2025;00241857;HMP-MČ ZBRASLAV;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;73135.80;73135.80;18215.40;
2025;00241857;HMP-MČ ZBRASLAV;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;417.00;0.00;
2025;00241881;HMP-MČ ZLIČÍN;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;53555.50;53555.50;13343.70;
